DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
02/10/2026,1,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.68,N
02/10/2026,2,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.67,N
02/10/2026,3,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.72,N
02/10/2026,4,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,N
02/10/2026,5,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,N
02/10/2026,6,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,N
02/10/2026,7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,N
02/10/2026,8,375.06,498.4,714.3,766.1,2.73,15.9,18.6,21.4,12.23,13.8,15.4,17.6,0.37,13.2,17.6,19.4,240.95,324.8,457.1,485.5,89.12,49.2,122.1,129.1,29.66,81.5,83.5,93.1,230.96,N
02/10/2026,9,3159.98,4253.1,3273.2,3235.3,84.76,276.3,100.9,101.7,292.4,389.9,355.4,355.3,79.73,418.0,91.3,89.9,1827.41,2071.7,1624.1,1602.6,621.9,430.7,860.8,839.1,253.78,666.5,240.7,246.7,2584.59,N
02/10/2026,10,6127.01,8727.3,5333.2,4857.7,258.34,733.6,140.7,107.4,624.64,1117.2,607.6,550.5,531.59,1060.6,185.2,141.0,3514.56,3629.0,3190.6,2940.8,730.47,879.2,1083.3,1014.2,467.41,1307.7,125.8,103.8,5910.63,N
02/10/2026,11,8226.91,11952.8,6801.7,6024.3,425.5,1118.1,296.7,217.7,653.37,1392.9,566.4,509.2,878.98,1511.4,796.3,672.5,4154.16,5091.7,3550.8,3227.2,742.9,1137.2,779.8,706.4,1372.0,1701.5,811.7,691.3,8067.87,N
02/10/2026,12,10781.45,13556.6,10009.4,8951.2,766.44,1312.5,686.0,578.3,847.03,1449.0,747.4,689.6,747.65,1997.0,880.2,740.0,5756.25,5630.8,5080.2,4653.1,841.7,1298.5,882.8,799.7,1822.38,1868.8,1732.8,1490.5,11049.39,N
02/10/2026,13,10626.25,13473.5,11536.4,10449.2,1001.0,1292.5,1227.2,1042.7,785.7,1359.8,927.8,852.3,776.35,1943.2,633.9,510.2,5468.8,5623.6,5937.8,5482.6,920.36,1295.2,1029.8,949.1,1674.04,1959.2,1779.9,1612.3,11305.41,N
02/10/2026,14,9258.04,12413.3,9962.8,8862.2,1237.82,1180.3,1542.9,1354.5,840.2,1282.6,865.7,799.1,960.49,1661.8,735.2,609.8,4030.14,5258.3,4645.1,4253.0,841.6,1137.8,813.9,739.6,1347.79,1892.5,1360.0,1106.2,10089.66,N
02/10/2026,15,7012.89,10583.6,6640.6,5607.7,865.89,1112.3,1307.4,1084.2,722.66,1199.9,667.5,591.0,917.34,1166.8,831.7,692.5,2638.41,4514.7,2251.6,1945.5,637.75,1037.3,649.5,580.3,1230.84,1552.6,932.9,714.2,7550.76,N
02/10/2026,16,5821.25,7499.6,4891.3,4012.1,569.45,1028.5,698.4,556.1,730.49,915.7,686.7,615.3,835.88,789.8,708.2,573.6,2192.12,3052.1,1583.1,1276.8,616.91,786.2,465.8,400.2,876.4,927.3,749.1,590.1,6011.95,N
02/10/2026,17,4088.03,4748.7,3761.4,3012.2,261.39,821.9,359.8,261.2,622.88,680.5,557.2,473.3,1091.14,805.8,895.3,754.9,1354.0,1410.2,1212.0,964.1,398.93,568.7,346.6,287.4,359.69,461.6,390.5,271.3,4357.61,N
02/10/2026,18,2034.85,1929.0,1923.9,1511.6,110.47,257.6,102.6,70.7,532.83,366.0,425.7,344.1,817.24,486.4,890.7,702.8,275.27,410.7,267.2,209.7,257.66,243.4,197.0,159.6,41.38,164.9,40.7,24.7,2551.54,N
02/10/2026,19,109.68,81.8,122.7,102.8,3.44,12.3,2.7,2.1,22.65,15.6,29.7,24.3,76.61,40.4,82.1,69.5,0.44,2.0,0.0,0.0,5.51,8.7,8.2,6.9,1.03,2.8,0.0,0.0,219.59,N
02/10/2026,20,0.35,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,N
02/10/2026,21,0.37,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,N
02/10/2026,22,0.36,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,N
02/10/2026,23,0.42,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,N
02/10/2026,24,0.44,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,N
02/11/2026,1,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
02/11/2026,2,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
02/11/2026,3,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
02/11/2026,4,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
02/11/2026,5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
02/11/2026,6,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
02/11/2026,7,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
02/11/2026,8,,876.4,911.1,650.6,,43.3,45.0,33.1,,22.7,23.1,17.6,,17.9,19.6,13.4,,548.4,567.8,405.5,,66.6,78.1,51.1,,177.5,177.5,129.9,,N
02/11/2026,9,,9131.8,9332.1,6675.9,,1024.1,1035.2,753.9,,599.4,599.4,440.5,,605.3,633.0,407.5,,4528.4,4616.3,3359.4,,636.9,710.5,449.3,,1737.7,1737.7,1265.3,,N
02/11/2026,10,,17559.2,17904.0,12972.7,,2368.5,2473.9,1786.7,,1649.4,1649.4,1196.5,,1538.4,1566.4,925.8,,7489.5,7631.1,5599.5,,1145.2,1215.0,721.5,,3368.2,3368.2,2742.7,,N
02/11/2026,11,,19909.3,20288.3,14364.2,,2781.3,2912.6,2147.9,,1915.5,1915.5,1505.2,,1903.4,1929.5,1010.8,,8108.1,8264.0,5748.0,,1423.0,1488.7,827.5,,3778.0,3778.0,3124.8,,N
02/11/2026,12,,20867.3,21367.7,15591.4,,2854.5,2980.4,2269.1,,1925.7,1925.7,1564.3,,2183.0,2390.6,1396.9,,8464.0,8564.7,6193.5,,1630.9,1697.1,959.8,,3809.2,3809.2,3207.8,,N
02/11/2026,13,,21972.0,22324.7,17119.7,,2911.8,3034.7,2479.5,,1947.4,1947.4,1701.6,,2766.2,2834.5,1796.1,,8748.5,8842.5,6572.8,,1815.4,1882.9,1189.7,,3782.7,3782.7,3380.0,,N
02/11/2026,14,,22561.1,22986.6,18072.3,,2936.0,3076.5,2688.6,,1932.1,1932.1,1690.2,,3120.6,3188.4,2118.6,,8799.3,8941.1,6787.7,,2001.3,2076.7,1365.5,,3771.8,3771.8,3421.7,,N
02/11/2026,15,,22943.3,23429.3,18158.7,,2979.3,3120.7,2746.6,,1978.0,1978.0,1685.0,,3435.5,3505.5,2268.9,,8679.9,8897.2,6665.1,,1966.2,2023.5,1288.4,,3904.4,3904.4,3504.7,,N
