DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,GEN_PANHANDLE,COP_HSL_PANHANDLE,STWPF_PANHANDLE,WGRPP_PANHANDLE,GEN_COASTAL,COP_HSL_COASTAL,STWPF_COASTAL,WGRPP_COASTAL,GEN_SOUTH,COP_HSL_SOUTH,STWPF_SOUTH,WGRPP_SOUTH,GEN_WEST,COP_HSL_WEST,STWPF_WEST,WGRPP_WEST,GEN_NORTH,COP_HSL_NORTH,STWPF_NORTH,WGRPP_NORTH,SYSTEM_WIDE_HSL,DSTFlag
06/18/2026,1,24276.08,24620.6,25217.6,24147.4,2757.89,2552.1,2982.3,2849.8,1533.51,1804.6,1550.9,1401.0,2386.99,2346.6,2379.2,2266.7,15304.13,15725.1,15991.8,15403.2,2293.56,2192.2,2313.4,2226.7,25146.8,N
06/18/2026,2,23445.22,24713.9,24212.8,23104.4,2839.83,2838.9,3049.3,2912.2,1786.41,1931.1,1804.4,1649.4,2447.07,2289.3,2450.6,2333.5,14174.48,15413.2,14714.3,14105.3,2197.43,2241.4,2194.2,2104.0,24256.25,N
06/18/2026,3,22612.45,23779.4,23466.4,22347.4,2613.48,2678.9,2894.3,2755.9,1809.6,1896.6,1849.5,1692.4,2458.72,2199.1,2449.1,2331.5,13551.83,14824.2,14105.5,13490.5,2178.82,2180.6,2168.0,2077.1,23420.93,N
06/18/2026,4,20991.53,22824.0,21904.6,20773.6,1985.45,2578.0,2270.8,2134.2,1647.86,1929.2,1696.8,1538.1,2370.08,2176.6,2419.6,2299.8,12927.43,14037.0,13434.5,12810.2,2060.71,2103.2,2082.9,1991.3,21826.56,N
06/18/2026,5,19591.23,21768.0,20259.7,19137.3,1354.84,2396.2,1520.4,1383.2,1615.77,1773.3,1650.0,1492.8,2014.2,2081.7,2053.4,1934.8,12611.68,13452.5,13043.8,12425.6,1994.74,2064.3,1992.1,1900.9,20224.34,N
06/18/2026,6,19601.41,20227.3,20159.9,19036.5,1334.56,1960.7,1456.4,1321.2,1494.67,1550.2,1519.7,1362.3,2022.31,1990.2,2015.0,1896.1,12719.49,12792.1,13144.9,12524.3,2030.38,1934.1,2023.9,1932.6,20126.71,N
06/18/2026,7,20297.84,19465.7,20887.2,19757.6,2107.91,2088.3,2293.5,2157.8,1652.55,1514.1,1679.7,1520.9,1917.6,1789.4,1919.2,1799.7,12516.16,12230.2,12904.6,12280.8,2103.62,1843.7,2090.2,1998.4,20834.32,N
06/18/2026,8,19608.29,19111.1,20590.2,19463.0,2660.62,2704.5,2984.0,2850.2,1634.58,1537.7,1650.6,1491.4,1878.77,1737.9,1900.6,1780.9,11550.13,11346.7,12113.7,11491.0,1884.19,1784.3,1941.3,1849.5,20737.24,N
06/18/2026,9,17351.42,18191.2,18460.4,17337.1,2828.92,3110.1,3189.0,3049.9,1984.03,1798.9,1976.0,1818.6,1640.83,1583.8,1684.1,1565.5,9267.97,9938.0,9958.8,9341.3,1629.67,1760.4,1652.5,1561.8,18617.0,N
06/18/2026,10,15642.2,16734.8,16647.6,15554.5,2936.11,3155.9,3212.2,3077.0,2241.08,2034.3,2265.2,2112.0,1409.38,1509.2,1468.3,1351.4,7447.1,8382.0,8073.7,7474.2,1608.53,1653.4,1628.2,1539.9,16765.88,N
06/18/2026,11,13674.28,15266.5,15132.1,14094.8,3493.12,3533.2,3918.6,3790.1,2113.06,2303.8,2219.5,2074.0,1217.36,1302.4,1254.4,1141.5,5393.62,6688.1,6214.9,5648.7,1457.12,1439.0,1524.7,1440.5,15146.88,N
06/18/2026,12,11592.47,13654.9,12489.0,11518.5,3769.77,3497.8,4108.4,3981.8,1993.11,2481.4,2016.3,1874.5,970.3,1169.6,1001.7,891.3,3723.08,5212.1,4161.6,3652.8,1136.21,1294.0,1201.0,1118.1,12640.24,N
06/18/2026,13,11077.4,12456.2,11685.6,10732.7,3759.22,3669.5,4134.4,4010.0,2119.58,2443.4,2119.8,1979.0,835.34,995.7,850.4,741.8,3453.54,4218.9,3638.5,3140.5,909.72,1128.7,942.5,861.4,11771.28,N
06/18/2026,14,11467.06,11279.7,12249.6,11286.4,3714.03,3694.7,4150.7,4023.1,2492.15,2327.6,2490.2,2345.0,803.66,911.2,828.8,716.5,3719.56,3423.0,4018.7,3524.0,737.66,923.2,761.2,677.8,12193.09,N
06/18/2026,15,11801.67,11840.3,12759.7,11785.0,3469.42,3681.3,4014.9,3885.7,2598.42,2543.0,2671.3,2524.9,915.77,837.7,908.8,795.8,4062.65,3931.5,4402.1,3900.8,755.41,846.8,762.6,677.8,12695.68,N
06/18/2026,16,12205.88,13150.7,13487.2,12486.8,3158.03,3737.5,3841.7,3711.3,2392.72,2772.2,2494.3,2346.8,985.6,939.3,1008.4,893.8,4770.0,4832.5,5242.9,4720.1,899.53,869.2,899.9,814.8,13394.07,N
06/18/2026,17,12575.81,14468.7,14840.5,13806.7,2390.46,3519.5,3838.8,3706.2,2179.22,2773.3,2266.4,2116.9,999.46,1117.7,1024.4,908.7,5904.79,6062.5,6624.8,6075.6,1101.88,995.7,1086.1,999.3,14643.64,N
06/18/2026,18,13789.63,15996.4,15920.3,14855.9,2130.43,3351.6,3515.1,3381.6,2259.3,2802.5,2313.4,2162.2,1145.92,1244.6,1138.7,1021.8,6942.66,7449.2,7653.1,7077.5,1311.32,1148.5,1300.0,1212.8,15784.09,N
06/18/2026,19,17028.56,17452.6,18686.6,17565.5,2112.9,3118.8,3340.2,3201.2,2444.48,2717.0,2457.1,2301.0,1403.04,1404.1,1429.3,1307.7,9522.61,8799.5,9910.9,9297.4,1545.53,1413.2,1549.1,1458.2,18516.83,N
06/18/2026,20,21163.31,18816.1,21569.5,20440.7,2742.7,2658.0,3001.6,2861.4,2724.5,2703.4,2849.7,2691.5,1614.91,1675.6,1635.7,1512.8,12435.41,10177.6,12413.2,11797.2,1645.79,1601.5,1669.3,1577.8,21601.69,N
06/18/2026,21,21996.48,19991.6,22658.0,21537.6,2142.98,2471.0,2387.3,2248.0,2720.0,2618.8,2869.4,2710.9,1996.2,2013.6,1953.2,1830.5,13434.14,11193.3,13768.9,13160.4,1703.16,1694.9,1679.2,1587.8,22721.49,N
06/18/2026,22,20561.44,21511.5,21236.7,20105.0,1631.2,2157.9,1829.2,1688.8,2568.51,2768.9,2668.7,2509.7,2508.01,2224.9,2516.3,2392.8,12042.97,12708.6,12437.1,11820.6,1810.75,1651.2,1785.4,1693.1,21324.95,N
06/18/2026,23,18935.83,20719.7,19769.4,18647.9,1296.16,1728.3,1399.1,1262.3,2556.78,2637.4,2546.1,2389.3,2561.21,2322.4,2594.5,2472.7,10747.07,12362.6,11446.7,10831.5,1774.61,1669.0,1783.0,1692.1,19836.53,N
06/18/2026,24,15857.34,18449.9,16780.5,15684.2,1202.65,1314.1,1298.3,1162.5,2441.42,2559.1,2477.9,2323.8,2397.81,2378.2,2454.7,2335.4,8215.61,10542.5,8926.5,8328.8,1599.85,1656.0,1623.1,1533.7,16771.4,N
06/19/2026,1,,15834.7,14022.4,13002.6,,1122.5,1132.4,1004.9,,2343.7,2336.8,2191.4,,2246.5,2274.1,2161.5,,8585.8,6946.3,6395.5,,1536.2,1332.8,1249.3,,N
06/19/2026,2,,13613.6,13165.3,12162.3,,1052.5,1035.2,912.1,,2146.2,2152.3,2010.8,,2091.3,2150.2,2040.2,,6972.2,6587.3,6040.8,,1351.4,1240.3,1158.4,,N
06/19/2026,3,,11581.8,11966.0,10955.5,,837.6,875.6,754.2,,1914.6,1914.6,1771.6,,1931.9,1958.6,1848.2,,5737.2,6056.7,5503.2,,1160.5,1160.5,1078.3,,N
06/19/2026,4,,10838.9,11145.2,10125.0,,734.6,767.8,645.5,,1767.8,1767.8,1623.6,,1845.6,1867.0,1755.1,,5353.7,5605.4,5046.5,,1137.2,1137.2,1054.3,,N
06/19/2026,5,,10373.8,10614.1,9586.3,,690.8,719.7,594.3,,1683.1,1683.1,1538.9,,1785.0,1804.7,1692.8,,5108.0,5299.7,4736.8,,1106.9,1106.9,1023.5,,N
06/19/2026,6,,9799.4,10020.1,8956.0,,580.5,604.7,477.1,,1653.2,1653.2,1503.8,,1649.2,1667.0,1551.1,,4992.5,5171.2,4586.7,,924.0,924.0,837.3,,N
06/19/2026,7,,9290.1,9458.4,8332.6,,454.1,474.3,346.3,,1678.3,1678.3,1518.7,,1560.8,1574.5,1451.0,,4824.8,4959.2,4336.6,,772.1,772.1,680.0,,N
06/19/2026,8,,8750.0,8876.6,7707.9,,367.1,382.3,267.0,,1714.4,1714.4,1546.1,,1419.0,1429.0,1298.8,,4492.2,4593.6,3935.9,,757.3,757.3,660.1,,N
06/19/2026,9,,8345.5,8450.2,7247.0,,253.8,264.0,162.8,,2041.0,2041.0,1864.8,,1299.3,1312.6,1176.1,,4109.6,4190.8,3503.2,,641.8,641.8,540.1,,N
06/19/2026,10,,8405.8,8509.9,7252.6,,183.5,193.7,93.4,,2512.6,2512.6,2328.0,,1303.4,1322.3,1178.8,,3823.7,3898.7,3176.7,,582.6,582.6,475.7,,N
06/19/2026,11,,7749.5,7833.0,6583.8,,155.5,164.5,59.4,,2635.4,2635.4,2452.4,,1180.5,1195.5,1053.6,,3176.4,3234.0,2520.1,,601.7,603.6,498.3,,N
06/19/2026,12,,6895.2,6955.6,5757.1,,156.7,163.6,38.9,,2672.0,2672.0,2499.8,,1092.0,1104.9,970.9,,2422.8,2463.4,1795.4,,551.7,551.7,452.1,,N
06/19/2026,13,,6265.6,6319.0,5158.9,,194.2,200.4,62.4,,2688.9,2688.9,2523.0,,1070.2,1086.4,957.9,,1812.7,1843.7,1211.9,,499.6,499.6,403.7,,N
06/19/2026,14,,5927.5,5972.2,4827.5,,253.3,259.7,117.7,,2706.4,2706.4,2540.7,,991.7,1007.8,878.9,,1437.8,1460.0,848.0,,538.3,538.3,442.2,,N
06/19/2026,15,,6053.7,6091.9,4913.2,,362.1,368.1,219.1,,2772.1,2772.1,2599.9,,919.6,935.6,802.0,,1407.1,1423.0,798.7,,592.8,593.1,493.5,,N
06/19/2026,16,,6354.2,6397.6,5158.6,,491.3,496.9,342.3,,2741.9,2741.9,2564.0,,977.1,996.1,858.5,,1568.2,1587.0,921.0,,575.7,575.7,472.8,,N
06/19/2026,17,,6836.2,6908.7,5585.9,,681.6,690.4,528.1,,2676.2,2676.2,2490.6,,1114.0,1135.8,991.9,,1887.5,1928.9,1205.5,,476.9,477.4,369.8,,N
06/19/2026,18,,7856.7,7983.9,6516.8,,916.9,929.3,749.5,,2706.6,2736.3,2530.8,,1390.2,1418.1,1258.7,,2400.6,2457.8,1653.9,,442.4,442.4,323.9,,N
06/19/2026,19,,8887.3,9041.3,7458.6,,1100.3,1113.8,920.1,,2751.1,2780.2,2559.4,,1719.7,1756.8,1585.3,,2922.7,2997.0,2127.8,,393.5,393.5,266.0,,N
06/19/2026,20,,9607.4,9803.7,8158.1,,1256.7,1271.6,1070.4,,2583.2,2609.8,2380.0,,1969.8,2009.9,1832.2,,3416.4,3531.1,2626.7,,381.3,381.3,248.8,,N
06/19/2026,21,,8486.5,8692.4,8692.4,,1268.1,1278.6,1278.6,,2105.3,2120.1,2120.1,,1968.5,2002.9,2002.9,,2785.5,2931.7,2931.7,,359.1,359.1,359.1,,N
06/19/2026,22,,8786.4,9003.7,9003.7,,1465.6,1477.6,1477.6,,1938.0,1947.8,1947.8,,2000.1,2030.7,2030.7,,2909.5,3074.4,3074.4,,473.2,473.2,473.2,,N
